"SalePrice","LotFrontage","LotArea","Street","LotShape","YearBuilt","BsmtUnfSF","TotalBsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF"
279500,91,10652,"Pave","IR1",2006,1494,1494,"Y",1494,0,1494,0,0,2,0,3,1,7,1,2006,3,840,160
170000,60,10800,"Pave","Reg",1936,170,796,"Y",1096,370,1466,0,1,2,0,3,1,7,1,1950,2,566,436
120000,60,7332,"Pave","Reg",1959,450,864,"Y",864,0,864,1,0,1,0,2,1,4,0,1959,1,288,168
129000,109,8724,"Pave","Reg",1968,402,894,"Y",894,0,894,0,0,1,0,3,1,5,1,1968,2,450,0
135500,75,9750,"Pave","Reg",1967,100,980,"Y",980,0,980,0,0,2,0,3,1,6,0,1967,1,384,68
320000,90,12376,"Pave","Reg",1990,203,1673,"Y",1699,1523,3222,1,0,3,0,5,1,11,2,1990,3,594,367
118000,75,9000,"Pave","Reg",1954,124,936,"Y",1128,0,1128,0,0,1,0,2,1,5,0,1954,1,286,0
114500,70,10150,"Pave","Reg",1958,456,912,"Y",912,0,912,0,0,1,0,2,1,5,0,1958,1,275,0
115000,50,6000,"Pave","Reg",1948,516,789,"Y",789,0,789,0,0,1,0,2,1,5,0,1948,1,250,0
190000,59,9587,"Pave","IR1",2005,201,856,"Y",1166,0,1166,1,0,2,0,2,1,5,0,2005,2,400,212
215000,71,12209,"Pave","IR1",2001,114,804,"Y",804,1157,1961,1,0,2,1,3,1,7,1,2001,2,560,125
191000,70,8750,"Pave","Reg",1996,880,880,"Y",909,807,1716,0,0,2,1,2,1,7,1,1996,2,512,0
100000,50,6060,"Pave","Reg",1939,732,732,"Y",772,351,1123,0,0,1,0,3,1,4,0,1979,1,264,0
80000,60,12180,"Pave","Reg",1941,324,672,"N",672,252,924,1,0,1,0,2,1,5,0,1941,1,280,0
208300,75,7862,"Pave","IR1",2009,1191,1218,"Y",1218,0,1218,0,0,2,0,2,1,4,0,2009,2,676,0
152000,40,5400,"Pave","Reg",1926,779,1149,"Y",1149,467,1616,0,0,2,0,3,1,5,0,1926,1,216,0
205950,65,8125,"Pave","Reg",2007,813,813,"Y",822,843,1665,0,0,2,1,3,1,7,0,2007,2,562,0
192500,43,3182,"Pave","Reg",2005,1357,1373,"Y",1555,0,1555,0,0,2,0,2,1,7,1,2005,2,430,143
137500,80,8800,"Pave","Reg",1963,173,936,"Y",1054,0,1054,1,0,1,0,3,1,6,0,1963,2,480,120
141000,50,9000,"Pave","Reg",1937,780,780,"Y",780,595,1375,0,0,1,1,3,1,6,1,1979,1,544,0
91300,50,5784,"Pave","Reg",1938,190,190,"Y",886,0,886,0,0,1,0,2,1,4,0,1938,1,273,144
290000,65,12257,"Pave","IR1",1995,1198,1318,"Y",1328,1203,2531,0,0,2,1,4,1,9,1,1995,3,752,222
254000,48,6240,"Pave","Reg",2006,461,1324,"Y",1324,0,1324,1,0,2,0,2,1,6,1,2006,2,550,192
195000,41,12393,"Pave","IR2",2004,847,847,"Y",847,1101,1948,0,0,2,1,4,1,8,1,2004,2,434,100
120000,50,6000,"Pave","Reg",1929,862,862,"Y",950,208,1158,0,0,1,0,3,1,5,1,1929,1,208,0
159500,75,7950,"Pave","IR1",1977,155,690,"Y",698,728,1426,0,0,1,1,3,1,6,0,1977,2,440,252
187750,60,7200,"Pave","Reg",2006,1293,1293,"Y",1301,0,1301,1,0,2,0,2,1,5,1,2006,2,572,216
137500,80,11600,"Pave","Reg",1922,700,700,"Y",1180,0,1180,0,0,1,0,2,1,5,1,1922,1,252,0
194500,64,7314,"Pave","Reg",2007,508,1232,"Y",1232,0,1232,1,0,2,0,2,1,6,0,2007,2,632,132
152000,75,13710,"Pave","Reg",1950,490,910,"Y",910,648,1558,0,0,1,1,4,1,6,0,1950,1,282,289
109008,77,8593,"Pave","IR1",1957,619,907,"Y",907,0,907,0,0,1,0,3,1,5,0,1964,1,352,0
175000,60,7200,"Pave","Reg",1937,162,731,"Y",981,787,1768,1,0,1,1,3,1,7,2,1939,1,240,0
174000,53,3684,"Pave","Reg",2007,1373,1373,"Y",1555,0,1555,0,0,2,0,2,1,7,1,2007,3,660,143
165000,78,10140,"Pave","Reg",1974,1064,1064,"Y",1350,0,1350,0,0,2,0,3,1,7,1,1974,2,478,0
201000,129,9196,"Pave","IR1",2003,1560,1560,"Y",1560,0,1560,0,0,2,0,3,1,7,0,2003,2,573,100
130000,92,6930,"Pave","IR1",1958,468,1062,"Y",1352,0,1352,0,1,1,0,3,1,6,0,1958,1,288,168
164500,96,11777,"Pave","IR1",1966,285,1164,"Y",1320,0,1320,1,0,1,0,3,1,6,2,1966,2,564,160
102000,67,8877,"Pave","Reg",1951,0,836,"Y",1220,0,1220,0,0,1,0,2,1,6,0,1951,2,396,0
176000,60,7024,"Pave","Reg",2005,108,1132,"Y",1132,0,1132,1,0,1,1,2,1,5,0,2005,2,451,252
147000,80,9600,"Pave","Reg",1950,506,1113,"Y",1113,0,1113,0,0,1,0,3,1,5,1,1950,1,264,0
239000,66,7399,"Pave","IR1",1997,326,975,"Y",975,975,1950,0,0,2,1,3,1,7,1,1997,2,576,0
328900,50,5119,"Pave","IR1",1999,460,1698,"Y",1709,0,1709,1,0,2,0,2,1,5,1,1999,2,506,97
110000,68,9450,"Pave","Reg",1954,342,894,"Y",894,0,894,0,0,1,0,3,1,5,0,1999,2,400,0
233230,120,15611,"Pave","Reg",2006,1079,1079,"Y",1079,840,1919,0,0,2,1,3,1,8,1,2006,2,685,0
151000,30,3180,"Pave","Reg",2005,600,600,"Y",520,600,1200,0,0,2,1,2,1,4,0,2005,2,480,0
184750,130,40094,"Pave","IR1",2007,878,3138,"Y",3138,1538,4676,1,0,3,1,3,1,11,1,2007,3,884,208
193000,62,7415,"Pave","IR1",2004,80,839,"Y",864,729,1593,1,0,2,1,3,1,8,1,2004,2,398,100
155000,80,8700,"Pave","Reg",1963,344,1120,"Y",1128,0,1128,1,0,2,0,3,1,6,0,1963,2,525,192
117000,90,5400,"Pave","Reg",1954,418,833,"Y",833,0,833,0,0,1,0,2,1,4,0,1955,1,326,0
168000,121,17671,"Pave","Reg",1882,700,916,"Y",916,826,1742,0,0,1,1,4,1,8,1,1925,2,424,0
235000,174,25419,"Pave","Reg",1918,140,1360,"Y",1360,1360,3112,1,1,2,0,4,1,8,1,1918,2,795,0
144000,78,11344,"Pave","Reg",1958,414,874,"Y",874,650,1524,0,0,1,1,3,1,7,0,1958,1,315,0
115000,100,21750,"Pave","Reg",1960,0,0,"Y",1771,0,1771,0,0,1,0,3,1,9,1,1960,2,336,0
271900,90,14684,"Pave","IR1",1990,1496,2158,"Y",2196,0,2196,0,0,2,0,3,1,7,1,1990,3,701,84
213500,79,9245,"Pave","IR1",2006,939,939,"Y",939,858,1797,0,0,2,1,3,1,8,0,2006,2,639,144
189000,65,8529,"Pave","IR1",2001,1434,1454,"Y",1434,0,1434,0,0,2,0,3,1,6,1,2001,2,527,290
139000,60,7350,"Pave","Reg",1951,100,952,"Y",952,0,952,1,0,1,0,2,1,4,0,1988,2,840,0
319000,69,11302,"Pave","IR1",2005,392,1814,"Y",1826,0,1826,1,0,2,0,3,1,7,1,2005,3,758,180
145250,80,11600,"Pave","Reg",1960,818,1383,"Y",1383,0,1383,0,0,1,1,3,1,7,0,1960,1,292,0
198900,94,10402,"Pave","IR1",2009,1226,1226,"Y",1226,0,1226,0,0,2,0,3,1,6,0,2009,3,740,0
35311,50,9000,"Pave","Reg",1949,430,480,"N",480,0,480,1,0,0,0,1,1,4,0,1958,1,308,0
171000,76,9880,"Pave","Reg",1977,574,1096,"Y",1118,0,1118,1,0,1,0,3,1,6,1,1977,1,358,203
339750,85,10800,"Pave","Reg",2007,245,1034,"Y",1050,1028,2078,1,0,2,1,3,1,8,1,2008,3,836,0
79900,52,5825,"Pave","IR1",1926,600,600,"Y",747,0,747,0,0,1,0,1,1,5,0,1953,2,528,0
198500,64,7301,"Pave","Reg",2003,0,0,"Y",495,1427,1922,0,0,3,0,4,1,7,1,2003,2,672,0
211000,97,10029,"Pave","IR1",1988,320,1151,"Y",1164,896,2060,0,1,2,1,4,1,8,1,1988,2,521,0
278000,40,5664,"Pave","IR1",2000,343,1501,"Y",1659,0,1659,1,0,2,0,2,1,5,1,2000,2,499,212
255000,90,11367,"Pave","Reg",2002,133,1065,"Y",1091,898,1989,1,0,2,1,3,1,7,1,2002,2,586,199
336000,98,12203,"Pave","IR1",1998,371,1225,"Y",1276,1336,2612,1,0,2,1,4,1,8,1,1998,3,676,250
112000,21,1680,"Pave","Reg",1971,630,630,"Y",630,672,1302,0,0,2,1,3,1,6,0,1991,1,280,0
142500,37,7937,"Pave","IR1",1984,184,1003,"Y",1003,0,1003,1,0,1,0,3,1,6,0,1984,2,588,120
286000,41,4923,"Pave","Reg",2001,440,1593,"Y",1593,0,1593,1,0,1,1,0,1,5,1,2001,2,682,0
465000,107,13891,"Pave","Reg",2006,690,2076,"Y",2076,0,2076,1,0,2,1,2,1,7,1,2006,3,850,216
186000,83,10420,"Pave","Reg",2009,1176,1212,"Y",1212,0,1212,0,0,2,0,3,1,6,0,2009,2,460,100
160200,43,3182,"Pave","Reg",2005,1129,1145,"Y",1145,0,1145,0,0,2,0,2,1,5,1,2005,2,397,100
120000,70,7535,"Pave","IR1",1958,522,912,"Y",912,0,912,0,1,1,0,2,1,5,0,1958,1,297,12
145000,57,9245,"Pave","IR2",1994,304,990,"Y",990,0,990,0,1,1,0,3,1,5,0,1996,2,672,0
106000,90,8100,"Pave","Reg",1898,849,849,"N",1075,1063,2138,0,0,2,0,2,3,11,0,1910,2,360,40
215000,141,31770,"Pave","IR1",1960,441,1080,"Y",1656,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210
176500,87,11029,"Pave","IR1",1958,245,1184,"Y",1414,0,1414,1,0,1,0,3,1,6,1,1990,2,601,0
157000,90,15750,"Pave","Reg",1953,324,1165,"Y",1336,0,1336,1,0,1,0,2,1,5,2,1953,1,375,0
129000,85,6970,"Pave","Reg",1961,108,1040,"Y",1120,0,1120,1,0,1,1,3,1,5,0,1961,2,544,168
124500,80,9600,"Pave","Reg",1959,50,1041,"Y",1041,0,1041,1,0,1,0,3,1,6,0,1959,1,270,224
127000,41,2665,"Pave","Reg",1977,36,757,"Y",925,550,1475,0,0,2,0,4,1,6,1,1977,1,336,104
136000,75,9464,"Pave","Reg",1958,510,1080,"Y",1080,0,1080,0,0,1,0,3,1,5,0,1958,1,288,0
187000,80,9760,"Pave","Reg",1964,169,822,"Y",1020,831,1851,0,0,2,1,3,1,7,1,1964,2,440,239
156000,79,10289,"Pave","Reg",1965,237,1073,"Y",1073,0,1073,1,0,1,1,3,1,6,0,1965,2,515,0
253000,75,9675,"Pave","Reg",2005,772,1113,"Y",1113,858,1971,0,0,2,1,3,1,8,1,2005,2,689,0
135000,60,9600,"Pave","Reg",1949,625,845,"Y",893,0,893,0,1,1,0,2,1,4,0,1985,2,576,0
148000,73,8760,"Pave","Reg",1959,1194,1194,"Y",1194,0,1194,1,0,1,0,3,1,6,0,1959,1,312,0
165000,100,9500,"Pave","Reg",1964,374,816,"Y",1127,850,1977,0,1,1,1,4,1,9,1,1964,2,540,0
197000,37,3316,"Pave","IR1",2005,208,1247,"Y",1247,0,1247,1,0,1,1,1,1,4,1,2005,2,550,0
210000,70,8737,"Pave","IR1",1923,765,1065,"Y",915,720,1635,0,0,1,1,3,1,6,1,1950,2,440,0
119000,60,7200,"Pave","Reg",1940,278,788,"Y",804,0,804,1,0,1,0,2,1,4,2,1940,1,240,0
225000,78,7800,"Pave","Reg",1948,293,896,"Y",1112,896,2008,1,0,3,0,3,1,8,0,1948,1,230,103
133700,70,7560,"Pave","Reg",1959,671,1040,"Y",1040,0,1040,0,0,1,0,3,1,6,0,1959,1,286,140
189950,55,7642,"Pave","Reg",1918,912,912,"Y",912,514,1426,0,0,1,1,3,1,7,1,1925,1,216,0
197900,80,10400,"Pave","Reg",1998,866,866,"Y",866,913,1779,0,0,2,1,3,1,6,0,1998,2,546,198
238000,103,13125,"Pave","IR1",1991,422,1104,"Y",912,1215,2127,1,0,2,1,4,1,8,1,1991,3,833,72
179500,60,8400,"Pave","Reg",1939,342,720,"Y",1052,720,2192,0,0,2,1,4,1,8,1,1939,1,240,262
155000,74,8536,"Pave","Reg",2006,1125,1125,"Y",1125,0,1125,0,0,1,1,2,1,5,0,2007,2,430,80
134000,71,9187,"Pave","Reg",1983,748,1084,"Y",1080,0,1080,0,0,1,1,3,1,5,0,1983,2,484,120
124500,76,8314,"Pave","Reg",1982,270,816,"Y",816,0,816,0,0,1,0,2,1,5,0,1982,1,264,168
117000,60,10998,"Pave","Reg",1941,156,984,"Y",984,620,1604,0,0,2,0,3,1,6,0,1977,2,660,0
256300,110,14230,"Pave","Reg",2007,1566,1566,"Y",1600,0,1600,0,0,2,0,3,1,7,1,2007,3,890,0
149500,74,7844,"Pave","Reg",1978,463,672,"Y",672,728,1400,0,0,1,1,3,1,6,1,1978,2,440,0
179900,85,11475,"Pave","Reg",1975,163,713,"Y",811,741,1552,1,0,2,1,3,1,6,1,1975,2,434,209
395000,110,14226,"Pave","Reg",2006,1935,1935,"Y",1973,0,1973,0,0,2,0,3,1,9,1,2006,3,895,315
176500,63,9084,"Pave","IR1",1998,935,935,"Y",955,677,1632,0,0,2,1,3,1,8,1,1998,2,462,0
269790,92,9920,"Pave","IR1",1996,255,1117,"Y",1127,886,2013,1,0,2,1,3,1,8,1,1997,2,455,180
204750,69,9337,"Pave","IR1",1997,176,824,"Y",905,881,1786,1,0,2,1,3,1,7,0,1997,2,684,0
127000,70,7910,"Pave","Reg",1960,409,1075,"Y",1507,0,1507,0,0,2,0,4,1,7,0,1960,1,404,0
250000,85,10625,"Pave","Reg",2005,1026,1026,"Y",1026,932,1958,0,0,2,1,3,1,9,1,2005,3,936,154
216837,70,9100,"Pave","Reg",2004,1836,1860,"Y",1836,0,1836,0,0,2,0,3,1,8,1,2004,2,484,120
174000,122,11911,"Pave","IR2",2005,684,684,"Y",684,876,1560,0,0,2,1,3,1,6,1,2005,2,400,100
118964,64,7018,"Pave","Reg",1979,0,0,"Y",1535,0,1535,0,0,2,0,4,2,8,0,1979,2,410,0
130000,62,9858,"Pave","Reg",1968,354,864,"Y",874,0,874,1,0,1,0,3,1,5,0,1968,1,288,33
262500,75,9000,"Pave","Reg",2008,488,1566,"Y",1566,0,1566,1,0,2,0,3,1,7,0,2008,2,750,144
167000,80,9600,"Pave","Reg",1953,131,1416,"Y",1644,0,1644,1,0,1,0,3,1,7,2,1953,2,418,110
169500,69,7590,"Pave","Reg",1962,324,864,"Y",876,936,1812,0,0,2,0,4,1,8,1,1962,1,264,0
235000,120,13728,"Pave","Reg",1935,501,1127,"Y",1236,872,2108,0,0,2,0,4,1,7,2,1935,2,540,0
755000,104,21535,"Pave","IR1",1994,989,2444,"Y",2444,1872,4316,0,1,3,1,4,1,10,2,1994,3,832,382
337500,96,12456,"Pave","Reg",2006,528,1700,"Y",1718,0,1718,1,0,2,0,3,1,7,1,2008,3,786,216
96500,55,10594,"Pave","Reg",1926,768,768,"N",789,0,789,0,0,1,0,2,1,5,0,1926,1,200,0
112500,70,7700,"Pave","Reg",1972,276,882,"Y",882,0,882,1,0,1,0,3,1,5,0,1980,2,461,96
415298,107,14450,"Pave","Reg",2006,2121,2121,"Y",2121,0,2121,0,0,2,1,3,1,8,1,2007,3,732,124
85000,60,7200,"Pave","Reg",1910,310,1022,"N",1022,0,1022,1,0,1,0,2,1,4,0,1956,1,280,0
131400,80,10000,"Pave","Reg",1961,270,864,"Y",1144,0,1144,1,0,1,0,3,1,6,1,1961,1,264,165
143000,70,8163,"Pave","Reg",1959,102,1144,"Y",1144,0,1144,1,0,1,0,3,1,6,1,1959,1,796,86
239000,122,11923,"Pave","IR1",2007,1800,1800,"Y",1800,0,1800,0,0,2,0,2,1,7,0,2007,2,702,288
132500,70,7931,"Pave","Reg",1959,0,1148,"Y",1148,0,1148,1,0,1,0,3,1,6,0,1959,1,672,0
326000,98,16033,"Pave","IR1",2004,572,1833,"Y",1850,0,1850,1,0,2,0,3,1,8,1,2004,3,772,519
207500,34,5063,"Pave","Reg",2007,410,1314,"Y",1314,0,1314,1,0,2,0,2,1,6,1,2008,2,626,172
278000,80,9600,"Pave","Reg",1981,1420,2524,"Y",2524,0,2524,1,0,2,1,4,1,9,1,1981,2,542,474
230000,34,5001,"Pave","IR1",2007,410,1314,"Y",1314,0,1314,1,0,2,0,2,1,6,1,2008,2,626,172
154500,70,8414,"Pave","Reg",1963,396,1059,"Y",1068,0,1068,0,1,1,0,3,1,6,0,1963,1,264,192
174000,149,12589,"Pave","IR2",2005,742,742,"Y",742,742,1484,0,0,2,1,3,1,8,1,2005,2,390,36
88000,21,1680,"Pave","Reg",1971,525,525,"Y",525,567,1092,0,0,1,1,3,1,6,0,1971,1,264,0
263435,75,8004,"Pave","IR1",2009,288,832,"Y",832,1103,1935,1,0,2,1,3,1,8,0,2009,2,552,0
137500,90,10012,"Pave","Reg",1972,38,1138,"Y",1181,0,1181,1,0,2,0,3,1,6,0,1974,2,588,0
55993,66,8712,"Grvl","Reg",1952,540,540,"N",1044,0,1044,0,0,1,0,2,1,4,0,1952,2,504,0
173500,64,8633,"Pave","Reg",2005,545,738,"Y",738,738,1476,1,0,2,1,3,1,7,0,2005,2,540,100
145000,82,7136,"Pave","IR1",1946,495,979,"N",979,979,1958,0,0,2,0,4,2,8,0,1946,2,492,0
189000,63,8199,"Pave","Reg",2005,80,728,"Y",728,728,1456,1,0,2,1,3,1,7,1,2005,2,410,36
118400,59,8263,"Pave","Reg",1920,1012,1012,"Y",1012,0,1012,0,0,1,0,2,1,6,1,1920,1,308,0
186500,65,8125,"Pave","Reg",2005,756,756,"Y",756,797,1553,0,0,2,1,3,1,6,0,2005,2,615,0
118000,50,7420,"Pave","Reg",1939,140,991,"Y",1077,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0
91000,60,9786,"Pave","Reg",1922,1007,1007,"N",1077,0,1077,0,0,1,0,3,1,6,1,1922,1,210,0
160000,75,12508,"Pave","IR1",1940,323,983,"Y",983,767,1750,1,0,2,0,4,1,7,0,1989,1,423,245
100000,60,10800,"Pave","Reg",1885,641,641,"Y",1047,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0
190000,107,10186,"Pave","IR1",1992,76,750,"Y",1061,862,1923,1,0,2,1,3,1,8,1,1992,2,564,240
125500,60,7200,"Pave","Reg",1938,803,803,"Y",803,557,1360,0,0,1,1,2,1,6,0,1951,1,297,0
179900,85,11049,"Pave","Reg",2007,1234,1234,"Y",1234,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0
320000,86,13286,"Pave","IR1",2007,464,1698,"Y",1698,0,1698,1,0,2,0,3,1,8,1,2007,3,768,327
119500,37,6951,"Pave","IR1",1984,218,876,"Y",923,0,923,1,0,1,0,3,1,5,0,1984,1,264,362
159000,50,5000,"Pave","Reg",1947,605,1004,"Y",1004,660,1664,0,0,2,0,3,1,7,2,1950,2,420,0
319900,61,7658,"Pave","Reg",2005,1296,1752,"Y",1752,0,1752,1,0,2,0,2,1,6,1,2005,2,576,196
301000,86,10380,"Pave","IR1",1986,0,1502,"Y",1553,1177,2730,1,0,2,1,4,1,8,1,1987,2,576,201
403000,174,15138,"Pave","IR1",1995,773,1462,"Y",1490,1304,2794,1,0,2,1,4,1,9,1,1995,3,810,0
170000,77,10010,"Pave","Reg",1974,195,1389,"Y",1389,0,1389,1,0,1,0,2,1,6,1,1975,2,418,240
280000,107,11362,"Pave","IR1",2004,797,1836,"Y",1836,0,1836,1,0,2,0,3,1,7,1,2004,3,862,125
228500,82,11287,"Pave","Reg",1989,386,807,"Y",1175,807,1982,0,0,2,1,3,1,7,1,1989,2,575,0
174000,24,2645,"Pave","Reg",1999,776,776,"Y",764,677,1441,0,0,2,1,2,1,5,0,1999,2,492,206
178000,59,7837,"Pave","IR1",1993,799,799,"Y",799,772,1571,0,0,2,1,3,1,7,1,1993,2,380,0
143000,50,9000,"Pave","Reg",1920,26,650,"Y",832,650,1482,0,1,1,0,3,1,7,0,1930,2,324,0
155000,60,7200,"Pave","Reg",1936,0,560,"Y",575,560,1135,1,0,1,0,3,1,6,0,1971,2,576,256
130000,60,7134,"Pave","Reg",1955,0,384,"Y",1360,0,1360,0,0,1,0,3,1,6,1,1962,2,572,0
112500,50,6000,"Pave","Reg",1957,620,928,"Y",928,0,928,0,0,1,0,3,1,5,0,1957,1,288,0
195400,64,6762,"Pave","Reg",2007,544,1208,"Y",1208,0,1208,1,0,2,0,2,1,6,0,2007,2,628,105
